Name,Category,Question,Correct Answer
MMLU_test,machine_learning,"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative. The options are: A) True, True, B) False, False, C) True, False, D) False, True",D
MMLU_test,machine_learning,"Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions. The options are: A) True, True, B) False, False, C) True, False, D) False, True",C
MMLU_test,machine_learning,"Statement 1| Support vector machines, like logistic regression models, give a probability distribution over the possible labels given an input example. Statement 2| We would expect the support vectors to remain the same in general as we move from a linear kernel to higher order polynomial kernels. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"A machine learning problem involves four attributes plus a class. The attributes have 3, 2, 2, and 2 possible values each. The class has 3 possible values. How many maximum possible different examples are there? The options are: A) 12, B) 24, C) 48, D) 72",D
MMLU_test,machine_learning,"As of 2020, which architecture is best for classifying high-resolution images? The options are: A) convolutional networks, B) graph networks, C) fully connected networks, D) RBF networks",A
MMLU_test,machine_learning,"Statement 1| The log-likelihood of the data will always increase through successive iterations of the expectation maximation algorithm. Statement 2| One disadvantage of Q-learning is that it can only be used when the learner has prior knowledge of how its actions affect its environment. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"Let us say that we have computed the gradient of our cost function and stored it in a vector g. What is the cost of one gradient descent update given the gradient? The options are: A) O(D), B) O(N), C) O(ND), D) O(ND^2)",A
MMLU_test,machine_learning,"Statement 1| For a continuous random variable x and its probability distribution function p(x), it holds that 0 ≤ p(x) ≤ 1 for all x. Statement 2| Decision tree is learned by minimizing information gain. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"Consider the Bayesian network given below. How many independent parameters are needed for this Bayesian Network H -> U <- P <- W? The options are: A) 2, B) 4, C) 8, D) 16",C
MMLU_test,machine_learning,"As the number of training examples goes to infinity, your model trained on that data will have: The options are: A) Lower variance, B) Higher variance, C) Same variance, D) None of the above",A
MMLU_test,machine_learning,"Statement 1| The set of all rectangles in the 2D plane (which includes non axisaligned rectangles) can shatter a set of 5 points. Statement 2| The VC-dimension of k-Nearest Neighbour classifier when k = 1 is infinite. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"_ refers to a model that can neither model the training data nor generalize to new data. The options are: A) good fitting, B) overfitting, C) underfitting, D) all of the above",C
MMLU_test,machine_learning,"Statement 1| The F1 score can be especially useful for datasets with class high imbalance. Statement 2| The area under the ROC curve is one of the main metrics used to assess anomaly detectors. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"Statement 1| The back-propagation algorithm learns a globally optimal neural network with hidden layers. Statement 2| The VC dimension of a line should be at most 2, since I can find at least one case of 3 points that cannot be shattered by any line. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
