Question,Correct Answer,Name,Category,Type
"Today, David went to the clothing store. Between what times could they have gone?
We know that:
David woke up at 6am.
Sarah saw David walking towards the Statue of Liberty from 8am to 9am.
Leslie saw David watching a movie at the theater from 9am to 11am.
Emily saw David buying clothes at the mall from 11am to 1pm.
Hannah saw David walking in the garden from 1pm to 3pm.
Samantha saw David reading at the library from 3pm to 4pm.
The clothing store was closed after 4pm.
Between what times could David have gone to the clothing store?
Options:
(A) 11am to 1pm
(B) 8am to 9am
(C) 6am to 8am
(D) 1pm to 3pm",C,BigBench_hard,temporal_sequences,Logical
"Today, Ashley went to the bookstore. Between what times could they have gone?
We know that:
Ashley woke up at 7am.
Leslie saw Ashley buying a bike at the bike shop from 11am to 12pm.
Susan saw Ashley working out at the gym from 12pm to 4pm.
Elizabeth saw Ashley waiting at the train station from 4pm to 7pm.
Emily saw Ashley taking photos near the Leaning Tower of Pisa from 7pm to 9pm.
The bookstore was closed after 9pm.
Between what times could Ashley have gone to the bookstore?
Options:
(A) 7pm to 9pm
(B) 11am to 12pm
(C) 12pm to 4pm
(D) 7am to 11am",D,BigBench_hard,temporal_sequences,Logical
"Today, Samantha went to the bakery. Between what times could they have gone?
We know that:
Samantha woke up at 6am.
Sarah saw Samantha walking in the garden from 6am to 11am.
Sean saw Samantha taking photos near the Leaning Tower of Pisa from 12pm to 1pm.
Jason saw Samantha taking photos near the Eiffel Tower from 1pm to 2pm.
Elizabeth saw Samantha walking towards the Statue of Liberty from 2pm to 3pm.
Tiffany saw Samantha buying lunch at the deli from 3pm to 9pm.
The bakery was closed after 9pm.
Between what times could Samantha have gone to the bakery?
Options:
(A) 1pm to 2pm
(B) 11am to 12pm
(C) 3pm to 9pm
(D) 6am to 11am",B,BigBench_hard,temporal_sequences,Logical
"Today, Thomas went to the gas station. Between what times could they have gone?
We know that:
Thomas woke up at 8am.
Samantha saw Thomas stretching at a yoga studio from 9am to 12pm.
Thomas saw Thomas buying cookies at a bakery from 12pm to 1pm.
Kimberly saw Thomas working at the office from 1pm to 4pm.
Andrew saw Thomas waiting at the train station from 4pm to 5pm.
Ashley saw Thomas buying clothes at the mall from 5pm to 8pm.
The gas station was closed after 8pm.
Between what times could Thomas have gone to the gas station?
Options:
(A) 8am to 9am
(B) 12pm to 1pm
(C) 5pm to 8pm
(D) 1pm to 4pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Anthony went to the park. Between what times could they have gone?
We know that:
Anthony woke up at 6am.
Thomas saw Anthony attending class at the school from 6am to 2pm.
Richard saw Anthony buying lunch at the deli from 2pm to 5pm.
Susan saw Anthony reading at the library from 5pm to 8pm.
The park was closed after 9pm.
Between what times could Anthony have gone to the park?
Options:
(A) 2pm to 5pm
(B) 5pm to 8pm
(C) 6am to 2pm
(D) 8pm to 9pm",D,BigBench_hard,temporal_sequences,Logical
"Today, Michael went to the construction site. Between what times could they have gone?
We know that:
Michael woke up at 5am.
Sean saw Michael attending class at the school from 5am to 10am.
Lisa saw Michael walking in the garden from 5pm to 7pm.
Anthony saw Michael getting a coffee at the cafe from 7pm to 10pm.
The construction site was closed after 10pm.
Between what times could Michael have gone to the construction site?
Options:
(A) 10am to 5pm
(B) 7pm to 10pm
(C) 5am to 10am
(D) 5pm to 7pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Sean went to the art show. Between what times could they have gone?
We know that:
Sean woke up at 7am.
Elizabeth saw Sean fixing their computer at the electronic store from 7am to 11am.
Anthony saw Sean waiting at the airport from 11am to 2pm.
Tiffany saw Sean waiting at the train station from 2pm to 3pm.
Andrew saw Sean buying a bike at the bike shop from 4pm to 8pm.
The art show was closed after 8pm.
Between what times could Sean have gone to the art show?
Options:
(A) 3pm to 4pm
(B) 7am to 11am
(C) 4pm to 8pm
(D) 11am to 2pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Sarah went to the gas station. Between what times could they have gone?
We know that:
Sarah woke up at 7am.
Kimberly saw Sarah sitting on a rooftop from 7am to 9am.
Mark saw Sarah buying a bike at the bike shop from 11am to 2pm.
John saw Sarah buying cookies at a bakery from 2pm to 3pm.
William saw Sarah fixing their computer at the electronic store from 3pm to 4pm.
The gas station was closed after 4pm.
Between what times could Sarah have gone to the gas station?
Options:
(A) 11am to 2pm
(B) 2pm to 3pm
(C) 9am to 11am
(D) 3pm to 4pm",C,BigBench_hard,temporal_sequences,Logical
"Today, Sarah went to the art studio. Between what times could they have gone?
We know that:
Sarah woke up at 9am.
Richard saw Sarah buying a bike at the bike shop from 9am to 12pm.
Betty saw Sarah waiting at the train station from 12pm to 1pm.
Michael saw Sarah buying clothes at the mall from 1pm to 3pm.
Jennifer saw Sarah working out at the gym from 3pm to 6pm.
Hannah saw Sarah buying a phone at the electronics store from 6pm to 8pm.
The art studio was closed after 10pm.
Between what times could Sarah have gone to the art studio?
Options:
(A) 9am to 12pm
(B) 3pm to 6pm
(C) 12pm to 1pm
(D) 8pm to 10pm",D,BigBench_hard,temporal_sequences,Logical
"Today, Anthony went to the orchestra hall. Between what times could they have gone?
We know that:
Anthony woke up at 6am.
Michael saw Anthony stretching at a yoga studio from 6am to 3pm.
Sarah saw Anthony taking photos near the Eiffel Tower from 3pm to 5pm.
Elizabeth saw Anthony waiting at the train station from 5pm to 6pm.
The orchestra hall was closed after 7pm.
Between what times could Anthony have gone to the orchestra hall?
Options:
(A) 3pm to 5pm
(B) 6pm to 7pm
(C) 5pm to 6pm
(D) 6am to 3pm",B,BigBench_hard,temporal_sequences,Logical
